2018-12-02 16:42:21 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->#account
2018-12-02 16:42:21 PM - LoginPageOperation - 【DEBUG】 -logger:  < 输入登录用户名:admin >
2018-12-02 16:42:21 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->[name='password']
2018-12-02 16:42:22 PM - LoginPageOperation - 【DEBUG】 -logger:  < 输入登录密码:123456 >
2018-12-02 16:42:22 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->input#keepLoginon
2018-12-02 16:42:22 PM - LoginPageOperation - 【DEBUG】 -logger:  < 点击保持登录按钮 >
2018-12-02 16:42:22 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->#submit
2018-12-02 16:42:23 PM - LoginPageOperation - 【DEBUG】 -logger:  < 点击登录按钮 >
2018-12-02 16:42:23 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->div#userMenu>a
2018-12-02 16:42:23 PM - LoginPageOperation - 【DEBUG】 -logger:  < 登录断言结果：True >
2018-12-02 16:42:23 PM - test_login - 【INFO】 -logger:  登录断言成功！ 测试通过！
2018-12-02 16:42:26 PM - browserUtil - 【DEBUG】 -logger:  Starting Chrome browser
2018-12-02 16:42:27 PM - browserUtil - 【DEBUG】 -logger:  Maximize the current window
2018-12-02 16:42:27 PM - browserUtil - 【DEBUG】 -logger:  Set imlipcitly wait 10 second.
2018-12-02 16:42:28 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->#account
2018-12-02 16:42:28 PM - LoginPageOperation - 【DEBUG】 -logger:  < 输入登录用户名: >
2018-12-02 16:42:28 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->[name='password']
2018-12-02 16:42:28 PM - LoginPageOperation - 【DEBUG】 -logger:  < 输入登录密码:123456 >
2018-12-02 16:42:28 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->input#keepLoginon
2018-12-02 16:42:28 PM - LoginPageOperation - 【DEBUG】 -logger:  < 点击保持登录按钮 >
2018-12-02 16:42:28 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->#submit
2018-12-02 16:42:28 PM - LoginPageOperation - 【DEBUG】 -logger:  < 点击登录按钮 >
2018-12-02 16:42:28 PM - base - 【ERROR】 -logger:  element not Found ! Reason:Alert Text: NoneMessage: unexpected alert open: {Alert text : 登录失败，请检查您的用户名或密码是否填写正确。}  (Session info: headless chrome=68.0.3440.75)  (Driver info: chromedriver=2.41.578737 (49da6702b16031c40d63e5618de03a32ff6c197e),platform=Windows NT 6.1.7601 SP1 x86_64)
2018-12-02 16:42:28 PM - base - 【ERROR】 -logger:  屏幕截图失败！Reason:Alert Text: None
Message: unexpected alert open: {Alert text : 登录失败，请检查您的用户名或密码是否填写正确。}
  (Session info: headless chrome=68.0.3440.75)
  (Driver info: chromedriver=2.41.578737 (49da6702b16031c40d63e5618de03a32ff6c197e),platform=Windows NT 6.1.7601 SP1 x86_64)

2018-12-02 16:42:28 PM - LoginPageOperation - 【DEBUG】 -logger:  < 登录断言结果：False >
2018-12-02 16:42:28 PM - test_login - 【INFO】 -logger:  登录断言成功！ 测试通过！
2018-12-02 16:42:30 PM - browserUtil - 【DEBUG】 -logger:  Starting Chrome browser
2018-12-02 16:42:32 PM - browserUtil - 【DEBUG】 -logger:  Maximize the current window
2018-12-02 16:42:32 PM - browserUtil - 【DEBUG】 -logger:  Set imlipcitly wait 10 second.
2018-12-02 16:42:32 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->#account
2018-12-02 16:42:32 PM - LoginPageOperation - 【DEBUG】 -logger:  < 输入登录用户名:admin2 >
2018-12-02 16:42:32 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->[name='password']
2018-12-02 16:42:32 PM - LoginPageOperation - 【DEBUG】 -logger:  < 输入登录密码:123456 >
2018-12-02 16:42:33 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->input#keepLoginon
2018-12-02 16:42:33 PM - LoginPageOperation - 【DEBUG】 -logger:  < 点击保持登录按钮 >
2018-12-02 16:42:33 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->#submit
2018-12-02 16:42:33 PM - LoginPageOperation - 【DEBUG】 -logger:  < 点击登录按钮 >
2018-12-02 16:42:33 PM - base - 【ERROR】 -logger:  element not Found ! Reason:Alert Text: NoneMessage: unexpected alert open: {Alert text : 登录失败，请检查您的用户名或密码是否填写正确。}  (Session info: headless chrome=68.0.3440.75)  (Driver info: chromedriver=2.41.578737 (49da6702b16031c40d63e5618de03a32ff6c197e),platform=Windows NT 6.1.7601 SP1 x86_64)
2018-12-02 16:42:33 PM - base - 【ERROR】 -logger:  屏幕截图失败！Reason:Alert Text: None
Message: unexpected alert open: {Alert text : 登录失败，请检查您的用户名或密码是否填写正确。}
  (Session info: headless chrome=68.0.3440.75)
  (Driver info: chromedriver=2.41.578737 (49da6702b16031c40d63e5618de03a32ff6c197e),platform=Windows NT 6.1.7601 SP1 x86_64)

2018-12-02 16:42:33 PM - LoginPageOperation - 【DEBUG】 -logger:  < 登录断言结果：False >
2018-12-02 16:42:33 PM - test_login - 【INFO】 -logger:  登录断言成功！ 测试通过！
2018-12-02 16:45:09 PM - browserUtil - 【DEBUG】 -logger:  Starting Chrome browser
2018-12-02 16:45:10 PM - browserUtil - 【DEBUG】 -logger:  Maximize the current window
2018-12-02 16:45:10 PM - browserUtil - 【DEBUG】 -logger:  Set imlipcitly wait 10 second.
2018-12-02 16:45:11 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->#account
2018-12-02 16:45:11 PM - LoginPageOperation - 【DEBUG】 -logger:  < 输入登录用户名:admin >
2018-12-02 16:45:11 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->[name='password']
2018-12-02 16:45:11 PM - LoginPageOperation - 【DEBUG】 -logger:  < 输入登录密码:123456 >
2018-12-02 16:45:11 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->input#keepLoginon
2018-12-02 16:45:11 PM - LoginPageOperation - 【DEBUG】 -logger:  < 点击保持登录按钮 >
2018-12-02 16:45:11 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->#submit
2018-12-02 16:45:12 PM - LoginPageOperation - 【DEBUG】 -logger:  < 点击登录按钮 >
2018-12-02 16:45:12 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->div#userMenu>a
2018-12-02 16:45:12 PM - LoginPageOperation - 【DEBUG】 -logger:  < 登录断言结果：True >
2018-12-02 16:45:12 PM - test_login - 【INFO】 -logger:  登录断言成功！ 测试通过！
2018-12-02 16:45:15 PM - browserUtil - 【DEBUG】 -logger:  Starting Chrome browser
2018-12-02 16:45:16 PM - browserUtil - 【DEBUG】 -logger:  Maximize the current window
2018-12-02 16:45:16 PM - browserUtil - 【DEBUG】 -logger:  Set imlipcitly wait 10 second.
2018-12-02 16:45:17 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->#account
2018-12-02 16:45:17 PM - LoginPageOperation - 【DEBUG】 -logger:  < 输入登录用户名: >
2018-12-02 16:45:17 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->[name='password']
2018-12-02 16:45:17 PM - LoginPageOperation - 【DEBUG】 -logger:  < 输入登录密码:123456 >
2018-12-02 16:45:17 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->input#keepLoginon
2018-12-02 16:45:17 PM - LoginPageOperation - 【DEBUG】 -logger:  < 点击保持登录按钮 >
2018-12-02 16:45:17 PM - base - 【INFO】 -logger:  正在定位元素信息：定位方式->css selector, value值->#submit
2018-12-02 16:45:17 PM - LoginPageOperation - 【DEBUG】 -logger:  < 点击登录按钮 >
2018-12-02 16:45:17 PM - base - 【ERROR】 -logger:  element not Found ! Reason:Alert Text: NoneMessage: unexpected alert open: {Alert text : 登录失败，请检查您的用户名或密码是否填写正确。}  (Session info: headless chrome=68.0.3440.75)  (Driver info: chromedriver=2.41.578737 (49da6702b16031c40d63e5618de03a32ff6c197e),platform=Windows NT 6.1.7601 SP1 x86_64)
2018-12-02 16:45:17 PM - base - 【ERROR】 -logger:  屏幕截图失败！Reason:Alert Text: None
Message: unexpected alert open: {Alert text : 登录失败，请检查您的用户名或密码是否填写正确。}
  (Session info: headless chrome=68.0.3440.75)
  (Driver info: chromedriver=2.41.578737 (49da6702b16031c40d63e5618de03a32ff6c197e),platform=Windows NT 6.1.7601 SP1 x86_64)

2018-12-02 16:45:17 PM - LoginPageOperation - 【DEBUG】 -logger:  < 登录断言结果：False >
2018-12-02 16:45:17 PM - test_login - 【INFO】 -logger:  登录断言成功！ 测试通过！
2018-12-02 16:45:19 PM - browserUtil - 【DEBUG】 -logger:  Starting Chrome browser
